Designator,Mid X,Mid Y,Rotation,Layer
C1,155.46,-50.1,0.0,top
L1,161.605,-44.423,90.0,top
LED1,154.67,-53.88,270.0,top
R1,152.03,-54.15,90.0,top
U1,158.97,-49.455,270.0,top
